Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
2345323,ARMAND'S PIZZERIA,ARMAND'S PIZZERIA,2698587,Restaurant,Risk 1 (High),29 N WACKER DR ,CHICAGO,IL,60606,2019-11-08T00:00:00.000,License,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEES HEALTH POLICY.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION-7-38.010-NO CITATION ISSUED) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005 | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NO SPLASH GUARD ON REAR EXPOSED HAND SINK AND FOOD PREP TABLE. MUST INSTALL A WASHABLE SPLASH GUARD.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THAT REAR PREP TABLE IS NOT PROPERLY ATTACHED AND CAULKED TO WALL. MUST PROVIDE  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE TOILET ROOM RECEPTACLE WITH COVER FOR SANITARY NAPKINS IN LADY'S BATHROOM | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER'S TRAINING CERTIFICATION FROM EMPLOYEE. INSTRUCTED THAT ALL EMPLOYEE'S MUST COMPLY WITH FOOD HANDLER'S TRAINING IN ACCORDANCE WITH THE FOOD HANDLING REGULATION ENFORCEMENT ACT.",41.88270035458986,-87.63663755997726,"{'longitude': '41.88270035458986', 'latitude': '-87.63663755997726'}",,,,,
2345321,GOPUFF,GOPUFF,2684560,Grocery Store,Risk 3 (Low),1801 W WARNER AVE ,CHICAGO,IL,60613,2019-11-08T00:00:00.000,License Re-Inspection,Pass,,41.956845683288854,-87.6743946694658,"{'longitude': '41.956845683288854', 'latitude': '-87.6743946694658'}",,,,,
2345325,TACO MAX MEXICAN GRILL,TACO MAX MEXICAN GRILL,2699082,Restaurant,Risk 1 (High),3402 W MONTROSE AVE ,CHICAGO,IL,60618,2019-11-08T00:00:00.000,License,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE AN EMPLOYEE HEALTH POLICY ON PREMISES. PRIORITY FOUNDATION 7-38-010. NO CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED ON ICE MACHINE WATER LINE. MUST PROVIDE AND MAKE VISIBLE A BACK FLOW PREVENTION DEVICE FOR ICE MACHINE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 3-COMPARTMENT SINK (BEHIND FRONT COUNTER) MISSING STOPPERS (X2). MUST PROVIDE WORKING STOPPERS FOR SAID 3-COMPARTMENT SINK.",41.961237630038035,-87.71328438033805,"{'longitude': '41.961237630038035', 'latitude': '-87.71328438033805'}",,,,,
2345370,CAFE BALLOU,CAFE BALLOU & DELI,2433048,Restaurant,Risk 1 (High),939 N WESTERN AVE ,CHICAGO,IL,60622,2019-11-08T00:00:00.000,Canvass,No Entry,,41.89870606533506,-87.68677251748062,"{'longitude': '41.89870606533506', 'latitude': '-87.68677251748062'}",,,,,
2345376,GARIBAY POULTRY,GARIBAY POULTRY,1908500,CUSTOM POULTRY SLAUGHTER,Risk 2 (Medium),2100 S CALIFORNIA AVE ,CHICAGO,IL,60608,2019-11-08T00:00:00.000,Complaint,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE UNISEX RESTROOM TRASH RECEPTACLE NOT COVERED, INSTRUCTED TO PROVIDE COVER.",41.85368770723974,-87.69565174882821,"{'longitude': '41.85368770723974', 'latitude': '-87.69565174882821'}",,,,,
2345345,CARNITAS URUAPAN,CARNITAS URUAPAN,2298331,Restaurant,Risk 1 (High),1725 W 18TH ST ,CHICAGO,IL,60608,2019-11-08T00:00:00.000,Complaint,Pass,"23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED A VARIETY OF FOODS NOT PROPERLY LABELED, DATED PORK CARNITAS, REFRIED BEANS, SALSA ETC. FOOD PREPARED AND HELD FOR MORE THAN 24 HOURS AT A TEMPERATURE OF 41*F OR BELOW SHALL BE CLEARLY MARKED TO INDICATE THE DAY OR DATE BE WHICH THE FOOD SHALL BE SOLD, DISCARDED, OR CONSUMED FOR A MAXIMUM OF 7 DAYS. PRIORITY FOUNDATION 7-38-005, NO CITATION ISSUED.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE REAR CUTTING BOARD STAINED, INSTRUCTED TO REPLACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE #10 CAN OPENER NOT CLEAN, IN REAR PREP AREA, INSTRUCTED TO CLEAN AND SANITIZE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED LARGE POTS FOR CARNITAS, SALSA, AND STORAGE SHELVES IN WALK-IN COOLER WHERE THE COOKED CARNITAS ARE HELD, UNABLE TO FULLY SUBMERGE IN 3 COMPARTMENT SINK. INSTRUCTED TO PROVIDE PROPER EQUIPMENT ABLE TO FULLY SUBMERGE IN BASINS OF THE THREE COMPARTMENTSINK, OR HAVE A WRITTEN PROCEDURE FOR ALTERNATIVE MANUAL WAREWASHING EQUIPMENT.",41.85763234806772,-87.6697745345797,"{'longitude': '41.85763234806772', 'latitude': '-87.6697745345797'}",,,,,
2345356,JUST A PIZZA PLUS INC,JUST A PIZZA PLUS,75583,Restaurant,Risk 1 (High),5136 S ARCHER AVE ,CHICAGO,IL,60632,2019-11-08T00:00:00.000,Complaint Re-Inspection,Pass,,41.8006193315046,-87.73114270276187,"{'longitude': '41.8006193315046', 'latitude': '-87.73114270276187'}",,,,,
2345360,IDOF Fresh Mediterranean,IDOF  Fresh Mediterranean,2688786,Restaurant,Risk 1 (High),6558 N SHERIDAN RD ,CHICAGO,IL,60626,2019-11-08T00:00:00.000,License Re-Inspection,Fail,"25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments: MENU DOES NOT DISCLOSE AND INFORM CONSUMERS THE SPECIFIC MENU ITEMS THAT ARE RAW OR UNDER COOKED AND A POTENTIAL HAZARD OF CONSUMING SUCH FOOD (GROUND BEEF,ETC) MUST DISCLOSE AND REMIND SUCH ITEMS.INCLUDED AT CATERING MENU AND BOARD MENU HANGED ON SITE . PRIORITY FOUNDATION VIOLATION:7-38-005. NO CITATION ISSUED. ",42.0017987908865,-87.66090125470285,"{'longitude': '42.0017987908865', 'latitude': '-87.66090125470285'}",,,,,
2345329,Subway,Subway,2079385,Restaurant,Risk 1 (High),1406 W 18th ST ,CHICAGO,IL,60608,2019-11-08T00:00:00.000,Complaint,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE UNISEX RESTROOM TRASH RECEPTACLE WITHOUT COVER, INSTRUCTED TO PROVIDE COVER.",41.85798053852561,-87.66161007814216,"{'longitude': '41.85798053852561', 'latitude': '-87.66161007814216'}",,,,,
2345319,GOPUFF,GOPUFF,2684558,Grocery Store,Risk 3 (Low),1801 W WARNER AVE ,CHICAGO,IL,60613,2019-11-08T00:00:00.000,License Re-Inspection,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  OBSERVED CEILING WASTE WATER AND RADIATOR PIPING OVER DRY FOOD STORAGE SHELVING IN THE REAR STORAGE ROOMS. MUST ENCASE LINES TO INTERCEPT POTENTIAL DRIPS OR REMOVE FOOD STORAGE SHELVES FROM UNDER LINES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  NO BACK FLOW PREVENTION DEVICE LOCATED ON THE UTILITY MOP SINK. MUST PROVIDE.",41.956845683288854,-87.6743946694658,"{'longitude': '41.956845683288854', 'latitude': '-87.6743946694658'}",,,,,
